,Name,DateTimeOriginal,GPSLatitude,GPSLongitude,picture_id,nb_judgments,mean_elo_rating,st_elo_rating,elo_reduced,mu,sigma,mu_0,sigma_0,rank_0,mu_1,sigma_1,rank_1,mu_2,sigma_2,rank_2,mu_3,sigma_3,rank_3,mu_4,sigma_4,rank_4,mu_5,sigma_5,rank_5,mu_6,sigma_6,rank_6,mu_7,sigma_7,rank_7,mu_8,sigma_8,rank_8,mu_9,sigma_9,rank_9
0,team 1 (kwun tong)_fung hon yin (jeffrey)_13.jpg,2020:11:08 12:11:19,22.3096194444444,114.219422222222,5,30,777.5,51.1477361091467,-1.12329233550999,25,8.333333333333334,16,1.9485769195101867,10.15426924146944,17,1.8241483685095885,11.527554894471235,18,1.882777153439236,12.351668539682294,15,1.7370526451242256,9.788842064627325,16,1.9871375503337003,10.0385873489989,17,1.8434294089200287,11.469711773239917,17,1.959001970745757,11.122994087762727,18,1.973781358265281,12.078655925204156,18,2.013239519002225,11.960281442993324,18,1.9963035292070808,12.011089412378755
1,team 1 (kwun tong)_fung hon yin (jeffrey)_22.jpg,2020:11:08 12:11:49,22.3097416666667,114.2191,14,28,779.0,55.4715324206111,-1.11571957819194,25,8.333333333333334,14,1.832634538741089,8.502096383776733,16,1.8083581418386336,10.574925574484098,18,1.8216744005401757,12.534976798379477,19,1.8212471425336367,13.536258572399088,17,1.7654814814460087,11.703555555661977,18,1.8105187122236557,12.568443863329032,18,1.7725033772204954,12.682489868338514,17,1.8395720548543333,11.481283835437,18,1.8271723635936168,12.518482909219149,18,1.759219625805402,12.722341122583794
2,team 1 (kwun tong)_fung hon yin (jeffrey)_26.jpg,2020:11:08 12:12:02,22.3100083333333,114.219033333333,18,42,634.666666666667,57.7838186430224,-1.84438711568381,25,8.333333333333334,22,2.2691565073921183,15.192530477823643,25,2.271086124862322,18.18674162541303,22,2.1512017819963987,15.546394654010804,27,2.275107132992595,20.17467860102221,23,2.3246836134436832,16.02594915966895,24,2.158757248238313,17.52372825528506,23,1.9555854700197572,17.133243589940726,25,2.182896645589529,18.45131006323141,22,1.916271851672248,16.251184444983256,26,2.2497138853382515,19.250858343985247
3,team 1 (kwun tong)_fung hon yin (jeffrey)_27.jpg,2020:11:08 12:12:08,22.3100916666667,114.219008333333,19,32,556.25,52.4649233471105,-2.2402740399216,25,8.333333333333334,28,2.631742031272964,20.10477390618111,25,2.2797452818040917,18.160764154587724,29,2.5035032909786232,21.48949012706413,27,2.5454179342746666,19.363746197176,27,2.469190177746327,19.59242946676102,28,2.328169079205248,21.015492762384252,26,2.687051997229791,17.938844008310625,26,2.810676984936376,17.56796904519087,26,2.751495788835802,17.745512633492595,25,2.4599764727118685,17.620070581864397
4,team 1 (kwun tong)_fung hon yin (jeffrey)_37.jpg,2020:11:08 12:09:30,22.3098861111111,114.219269444444,29,34,747.333333333333,87.1835402869699,-1.27558889935066,25,8.333333333333334,19,1.789844983743512,13.630465048769464,17,1.8077319717194813,11.576804084841555,17,1.6320628759582034,12.103811372125389,17,1.7021703142667577,11.893489057199726,16,1.7398787175623769,10.78036384731287,17,1.6716038106295326,11.985188568111402,19,1.788809807034631,13.633570578896109,16,1.686053483691215,10.941839548926357,15,1.801264967206075,9.596205098381777,16,1.6736916121625525,10.978925163512343
5,team 1 (kwun tong)_fung hon yin (jeffrey)_41.jpg,2020:11:08 12:09:52,22.3097666666667,114.219580555556,33,35,969.333333333333,58.2991241682744,-0.154820816280028,25,8.333333333333334,9,1.6436388565554214,4.069083430333736,8,1.6201978809282114,3.139406357215366,9,1.659736040324919,4.020791879025243,7,1.6102007779141012,2.169397666257696,9,1.6249605053067355,4.125118484079793,8,1.5776537026634283,3.2670388920097144,8,1.588819273050409,3.233542180848773,8,1.634796236916975,3.0956112892490744,9,1.666118007660252,4.001645977019244,10,1.6041040779503708,5.187687766148888
6,team 1 (kwun tong)_fung hon yin (jeffrey)_42.jpg,2020:11:08 12:10:36,22.3095222222222,114.219772222222,34,30,535.5,37.2277999740663,-2.34503051615455,25,8.333333333333334,29,3.000363894146839,19.998908317559483,26,3.298048011576417,16.10585596527075,28,2.697934071049404,19.906197786851788,27,3.283786605887223,17.14864018233833,28,2.855955211529402,19.432134365411795,30,2.707583907168168,21.877248278495497,29,2.97112171020978,20.086634869370663,29,2.68396672447418,20.94809982657746,31,2.7389879538117934,22.78303613856462,27,3.17557404826035,17.47327785521895
7,team 1 (kwun tong)_kwok chun ting (alex)_105.jpg,2020:11:08 11:16:04,22.3124111111111,114.217902777778,46,29,925.333333333333,61.5486996145526,-0.376955030942676,25,8.333333333333334,12,1.7313367438509464,6.80598976844716,12,1.7374914645325483,6.787525606402355,12,1.69815715421203,6.90552853736391,12,1.7688885493330333,6.6933343520009,9,1.6885138026248845,3.934458592125347,12,1.7873690746170106,6.637892776148968,10,1.7718128166371627,4.684561550088512,10,1.802584517439613,4.592246447681162,10,1.8019935803263412,4.594019259020976,9,1.7464737017420686,3.7605788947737935
8,team 1 (kwun tong)_kwok chun ting (alex)_116.jpg,2020:11:08 11:09:54,22.3137611111111,114.217383333333,58,21,735.416666666667,57.1226086960533,-1.33575024915513,25,8.333333333333334,19,2.5256159592827365,11.42315212215179,19,2.443708557885365,11.668874326343907,21,2.704976264059669,12.885071207820992,20,2.4607864755925304,12.61764057322241,23,2.6163350444033604,15.15099486678992,17,2.6591022249039526,9.022693325288142,20,2.465021443633148,12.604935669100556,25,2.751562276651347,16.74531317004596,19,2.7138076062875207,10.858577181137438,22,2.47639262008577,14.57082213974269
9,team 1 (kwun tong)_kwok chun ting (alex)_120.jpg,2020:11:08 11:18:06,22.3121416666667,114.2183,63,41,792.666666666667,69.9809497887342,-1.04672334484975,25,8.333333333333334,16,1.6573836517249196,11.027849044825242,15,1.585073940529108,10.244778178412677,13,1.637520701460173,8.08743789561948,15,1.56380663151368,10.30858010545896,14,1.6630193499673127,9.01094195009806,14,1.5334327339746645,9.399701798076006,13,1.6188491893318206,8.143452432004537,15,1.599132797963694,10.202601606108916,14,1.6195290466724492,9.141412859982651,16,1.5511183993037334,11.3466448020888
