,image,elo_reduced
0,Team 1 (Kwun Tong)_Fung Hon Yin (Jeffrey)_13.jpg,-1.1
1,Team 1 (Kwun Tong)_Fung Hon Yin (Jeffrey)_26.jpg,-1.8
2,Team 1 (Kwun Tong)_Fung Hon Yin (Jeffrey)_27.jpg,-2.2
3,Team 1 (Kwun Tong)_Fung Hon Yin (Jeffrey)_37.jpg,-1.3
4,Team 1 (Kwun Tong)_Fung Hon Yin (Jeffrey)_41.jpg,-0.2
5,Team 1 (Kwun Tong)_Fung Hon Yin (Jeffrey)_42.jpg,-2.3
6,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_105.jpg,-0.4
7,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_116.jpg,-1.3
8,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_129.jpg,-0.9
9,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_16.jpg,-2.1
10,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_20.jpg,-1.2
11,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_23.jpg,-1.9
12,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_29.jpg,-1.3
13,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_30.jpg,-0.9
14,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_37.jpg,-1.9
15,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_43.jpg,-1.9
16,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_52.jpg,-1.4
17,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_54.jpg,-0.5
18,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_6.jpg,-1.1
19,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_67.jpg,0.8
20,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_7.jpg,-2.4
21,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_71.jpg,1.6
22,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_72.jpg,0.8
23,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_90.jpg,-1.2
24,Team 1 (Kwun Tong)_Kwok Chun Ting (Alex)_94.jpg,-0.5
25,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_10.jpg,0.7
26,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_112.jpg,-0.9
27,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_120.jpg,-0.1
28,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_121.jpg,-0.1
29,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_127.jpg,1.3
30,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_130.jpg,0.4
31,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_133.jpg,-0.8
32,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_141.jpg,-1.4
